District_Id,State_code,Suburb,Address,Lattitude,Longitude
242,NSW,Sydney,"New South Wales, Sydney, Postcode-1163",-33.794883,151.268071
243,NSW,Sydney,"New South Wales, Sydney, Postcode-1164",-33.794883,151.268071
244,NSW,Sydney,"New South Wales, Sydney, Postcode-1165",-33.794883,151.268071
245,NSW,Sydney,"New South Wales, Sydney, Postcode-1166",-33.794883,151.268071
246,NSW,Sydney,"New South Wales, Sydney, Postcode-1167",-33.794883,151.268071
247,NSW,Sydney,"New South Wales, Sydney, Postcode-1168",-33.794883,151.268071
248,NSW,Sydney,"New South Wales, Sydney, Postcode-1169",-33.794883,151.268071
249,NSW,Sydney,"New South Wales, Sydney, Postcode-1170",-33.794883,151.268071
250,NSW,Sydney,"New South Wales, Sydney, Postcode-1171",-33.794883,151.268071
251,NSW,Sydney,"New South Wales, Sydney, Postcode-1172",-33.794883,151.268071
252,NSW,Sydney,"New South Wales, Sydney, Postcode-1173",-33.794883,151.268071
253,NSW,Sydney,"New South Wales, Sydney, Postcode-1174",-33.794883,151.268071
254,NSW,Sydney,"New South Wales, Sydney, Postcode-1175",-33.794883,151.268071
255,NSW,Sydney,"New South Wales, Sydney, Postcode-1176",-33.794883,151.268071
256,NSW,Sydney,"New South Wales, Sydney, Postcode-1177",-33.794883,151.268071
257,NSW,Sydney,"New South Wales, Sydney, Postcode-1178",-33.794883,151.268071
258,NSW,Sydney,"New South Wales, Sydney, Postcode-1179",-33.794883,151.268071
259,NSW,Sydney,"New South Wales, Sydney, Postcode-1180",-33.794883,151.268071
260,NSW,Sydney,"New South Wales, Sydney, Postcode-1181",-33.794883,151.268071
261,NSW,Sydney,"New South Wales, Sydney, Postcode-1182",-33.794883,151.268071
262,NSW,Sydney,"New South Wales, Sydney, Postcode-1183",-33.794883,151.268071
263,NSW,Sydney,"New South Wales, Sydney, Postcode-1184",-33.794883,151.268071
264,NSW,Sydney,"New South Wales, Sydney, Postcode-1185",-33.794883,151.268071
265,NSW,Sydney,"New South Wales, Sydney, Postcode-1186",-33.794883,151.268071
266,NSW,Sydney,"New South Wales, Sydney, Postcode-1187",-33.794883,151.268071
267,NSW,Sydney,"New South Wales, Sydney, Postcode-1188",-33.794883,151.268071
268,NSW,Sydney,"New South Wales, Sydney, Postcode-1189",-33.794883,151.268071
269,NSW,Sydney,"New South Wales, Sydney, Postcode-1190",-33.794883,151.268071
270,NSW,Sydney,"New South Wales, Sydney, Postcode-1191",-33.794883,151.268071
271,NSW,Sydney,"New South Wales, Sydney, Postcode-1192",-34.790684,147.685283
