School_Id,Suburb,State Code,Address,School_Information,Latitude,Longitude,ICSEA_Value,Student_number,,Postcode
8326,Mosman,NSW,"Mosman High School, Military Rd, Postcode-2088","Secondary School (Coed, Year 7 to Year 12)",-33.829677,151.243425,1141,1055,,2088
8328,Harden ,NSW,"Murrumburrah High School, Smith St, Postcode-2587","Secondary School (Coed, Year 7 to Year 12)",-34.559162,148.369808,906,131,,2587
8334,Yass ,NSW,"Yass High School, Grampian St, Postcode-2582","Secondary School (Coed, Year 7 to Year 12)",-34.835474,148.911066,979,478,,2582
8343,Tumut,NSW,"Tumut High School, Bogong Place, Postcode-2720","Secondary School (Coed, Year 7 to Year 12)",-35.312212,148.219291,949,563,,2720
8346,Condobolin,NSW,"Condobolin High School, Innes St, Postcode-2877","Secondary School (Coed, Year 7 to Year 12)",-33.091828,147.143195,828,206,,2877
8347,Coonabarabran,NSW,"Coonabarabran High School, Newell Hwy, Postcode-2357","Secondary School (Coed, Year 7 to Year 12)",-31.283104,149.285117,933,371,,2357
8349,Gilgandra,NSW,"Gilgandra High School, Court Street, Postcode-2827","Secondary School (Coed, Year 7 to Year 12)",-31.703431,148.666529,873,253,,2827
8353,Nyngan,NSW,"Nyngan High School, 19-37 Cobar Street, Postcode-2825","Secondary School (Coed, Year 7 to Year 12)",-31.561368,147.188882,867,167,,2825
8355,Bourke ,NSW,"Bourke High School, 34 Tarcoon St, Postcode-2840","Secondary School (Coed, Year 7 to Year 12)",-30.091467,145.948761,765,151,,2840
8356,Cobar ,NSW,"Cobar High School, Wetherell Cres, Postcode-2835","Secondary School (Coed, Year 7 to Year 12)",-31.501643,145.827881,912,255,,2835
8357,Blayney ,NSW,"Blayney High School, Water St, Postcode-2799","Secondary School (Coed, Year 7 to Year 12)",-33.531048,149.251081,960,383,,2799
8358,Tenterfield,NSW,"Tenterfield High School, 89 High Street, Postcode-2372","Secondary School (Coed, Year 7 to Year 12)",-29.053727,152.016829,932,256,,2372
8360,Finley ,NSW,"Finley High School, Tocumwal St, Postcode-2713","Secondary School (Coed, Year 7 to Year 12)",-35.640413,145.571271,964,404,,2713
8362,Maclean ,NSW,"Maclean High School, Woombah Street, Postcode-2463","Secondary School (Coed, Year 7 to Year 12)",-29.46644,153.20149,952,911,,2463
8364,Port Macquarie ,NSW,"Hastings Secondary College, Port Macquarie Campus, Owen & Burrawan Sts, Postcode-2444","Secondary School (Coed, Year 7 to Year 12)",-31.433295,152.92069,971,668,,2444
8368,Moruya,NSW,"Moruya High School, 97 Albert Street, Postcode-2537","Secondary School (Coed, Year 7 to Year 12)",-35.920195,150.08015,966,597,,2537
8370,Tweed Heads South,NSW,"Tweed River High School, 4-10 Heffron Street, Postcode-2486","Secondary School (Coed, Year 7 to Year 12)",-28.195651,153.541012,961,794,,2486
8371,Gloucester ,NSW,"Gloucester High School, Ravenshaw St, Postcode-2422","Secondary School (Coed, Year 7 to Year 12)",-32.016661,151.959556,944,361,,2422
8372,Frenchs Forest ,NSW,"The Forest High School, 135 Frenchs Forest Rd, Postcode-2086","Secondary School (Coed, Year 7 to Year 12)",-33.750298,151.2298,1057,893,,2086
8373,Port Kembla,NSW,"Five Islands Secondary College, Military Rd, Postcode-2505","Secondary School (Coed, Year 10 to Year 12)",-34.489274,150.913541,,240,,2505
8374,Woy Woy ,NSW,"Brisbane Water Secondary College Woy Woy Campus, Edward St, Postcode-2256","Secondary School (Coed, Year 10 to Year 12)",-33.492687,151.323582,,659,,2256
8377,Panania ,NSW,"Picnic Point High School, Kennedy St, Postcode-2213","Secondary School (Coed, Year 7 to Year 12)",-33.964344,151.011457,1005,1027,,2213
8379,Mona Vale ,NSW,"Pittwater High School, Pittwater Rd & Mona St, Postcode-2103","Secondary School (Coed, Year 7 to Year 12)",-33.668259,151.302664,1079,961,,2103
8381,Bankstown ,NSW,"Bankstown Senior College, Antwerp St, Postcode-2200","Secondary School (Coed, Year 10 to Year 12)",-33.929121,151.022569,,410,,2200
8382,Castle Hill ,NSW,"Castle Hill High School, Castle St, Postcode-2154","Secondary School (Coed, Year 7 to Year 12)",-33.726635,150.999534,1099,1532,,2154
8383,Emu Plains ,NSW,"Nepean Creative and Performing Arts High School, Great Western Hwy, Postcode-2750","Secondary School (Coed, Year 7 to Year 12)",-33.747745,150.668882,989,1065,,2750
8384,Fairfield West,NSW,"Westfields Sports High School, 406A Hamilton Road, Postcode-2165","Secondary School (Coed, Year 7 to Year 12)",-33.866933,150.920432,977,1663,,2165
