Property_Id,State Code,Suburb,Address,Property_Median_Value,Updated_on,Postcode
95,NSW,Canada Bay,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2046","13,65,000.00",1/06/2017,2046
96,NSW,Chiswick,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2046","13,65,000.00",1/06/2017,2046
97,NSW,Five Dock,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2046","13,65,000.00",1/06/2017,2046
98,NSW,Rodd Point,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2046","13,65,000.00",1/06/2017,2046
99,NSW,Russell Lea,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2046","13,65,000.00",1/06/2017,2046
100,NSW,Wareemba,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2046","13,65,000.00",1/06/2017,2046
101,NSW,Drummoyne,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2047","15,00,000.00",1/06/2017,2047
102,NSW,Stanmore,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2048","13,60,000.00",1/06/2017,2048
103,NSW,Lewisham,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2049","9,56,000.00",1/06/2017,2049
104,NSW,Petersham,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2049","9,56,000.00",1/06/2017,2049
105,NSW,Petersham North,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2049","9,56,000.00",1/06/2017,2049
106,NSW,Camperdown,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2050","8,43,000.00",1/06/2017,2050
107,NSW,Missenden Road,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2050","8,43,000.00",1/06/2017,2050
108,NSW,Hmas Waterhen,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2060","13,50,000.00",1/06/2017,2060
109,NSW,Lavender Bay,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2060","13,50,000.00",1/06/2017,2060
110,NSW,Mcmahons Point,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2060","13,50,000.00",1/06/2017,2060
111,NSW,North Sydney,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2060","13,50,000.00",1/06/2017,2060
112,NSW,North Sydney Shoppingworld,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2060","13,50,000.00",1/06/2017,2060
113,NSW,Waverton,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2060","13,50,000.00",1/06/2017,2060
114,NSW,Kirribilli,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2061","14,15,500.00",1/06/2017,2061
115,NSW,Milsons Point,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2061","14,15,500.00",1/06/2017,2061
116,NSW,Cammeray,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2062","12,50,000.00",1/06/2017,2062
117,NSW,Northbridge,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2063","32,10,000.00",1/06/2017,2063
118,NSW,Artarmon,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2064","9,80,000.00",1/06/2017,2064
119,NSW,Crows Nest,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2065","13,00,000.00",1/06/2017,2065
120,NSW,Greenwich,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2065","13,00,000.00",1/06/2017,2065
121,NSW,Naremburn,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2065","13,00,000.00",1/06/2017,2065
122,NSW,Royal North Shore Hospital,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2065","13,00,000.00",1/06/2017,2065
123,NSW,St Leonards,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2065","13,00,000.00",1/06/2017,2065
124,NSW,Wollstonecraft,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2065","13,00,000.00",1/06/2017,2065
125,NSW,Lane Cove,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2066","10,82,500.00",1/06/2017,2066
126,NSW,Lane Cove North,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2066","10,82,500.00",1/06/2017,2066
127,NSW,Lane Cove West,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2066","10,82,500.00",1/06/2017,2066
128,NSW,Linley Point,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2066","10,82,500.00",1/06/2017,2066
129,NSW,Longueville,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2066","10,82,500.00",1/06/2017,2066
130,NSW,Northwood,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2066","10,82,500.00",1/06/2017,2066
131,NSW,Riverview,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2066","10,82,500.00",1/06/2017,2066
132,NSW,Chatswood,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2067","11,87,000.00",1/06/2017,2067
133,NSW,Chatswood West,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2067","11,87,000.00",1/06/2017,2067
134,NSW,Castlecrag,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2068","22,72,500.00",1/06/2017,2068
135,NSW,Middle Cove,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2068","22,72,500.00",1/06/2017,2068
136,NSW,North Willoughby,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2068","22,72,500.00",1/06/2017,2068
137,NSW,Willoughby,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2068","22,72,500.00",1/06/2017,2068
138,NSW,Willoughby East,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2068","22,72,500.00",1/06/2017,2068
139,NSW,Willoughby North,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2068","22,72,500.00",1/06/2017,2068
140,NSW,Castle Cove,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2069","25,10,000.00",1/06/2017,2069
141,NSW,Roseville,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2069","25,10,000.00",1/06/2017,2069
142,NSW,Roseville Chase,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2069","25,10,000.00",1/06/2017,2069
143,NSW,East Lindfield,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2070","20,70,040.00",1/06/2017,2070
144,NSW,Lindfield,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2070","20,70,040.00",1/06/2017,2070
145,NSW,Lindfield West,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2070","20,70,040.00",1/06/2017,2070
146,NSW,East Killara,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2071","21,50,000.00",1/06/2017,2071
147,NSW,Killara,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2071","21,50,000.00",1/06/2017,2071
148,NSW,Gordon,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2072","10,00,500.00",1/06/2017,2072
149,NSW,Pymble,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2073","22,35,000.00",1/06/2017,2073
150,NSW,West Pymble,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2073","22,35,000.00",1/06/2017,2073
151,NSW,North Turramurra,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2074","18,36,500.00",1/06/2017,2074
152,NSW,South Turramurra,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2074","18,36,500.00",1/06/2017,2074
153,NSW,Turramurra,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2074","18,36,500.00",1/06/2017,2074
154,NSW,Warrawee,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2074","18,36,500.00",1/06/2017,2074
155,NSW,St Ives,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2075","18,30,000.00",1/06/2017,2075
156,NSW,St Ives Chase,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2075","18,30,000.00",1/06/2017,2075
157,NSW,Normanhurst,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2076","16,50,000.00",1/06/2017,2076
158,NSW,North Wahroonga,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2076","16,50,000.00",1/06/2017,2076
159,NSW,Wahroonga,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2076","16,50,000.00",1/06/2017,2076
160,NSW,Asquith,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2077","7,70,000.00",1/06/2017,2077
161,NSW,Hornsby,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2077","7,70,000.00",1/06/2017,2077
162,NSW,Hornsby Heights,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2077","7,70,000.00",1/06/2017,2077
163,NSW,Waitara,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2077","7,70,000.00",1/06/2017,2077
164,NSW,Mount Colah,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2079","12,10,000.00",1/06/2017,2079
165,NSW,Mount Kuring-Gai,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2080",,1/06/2017,2080
166,NSW,Berowra,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2081","1,220,000.00",1/06/2017,2081
167,NSW,Cowan,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2081","1,220,000.00",1/06/2017,2081
168,NSW,Berowra Heights,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2082","1,177,500.00",1/06/2017,2082
169,NSW,Berowra Waters,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2082","1,177,500.00",1/06/2017,2082
170,NSW,Bar Point,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2083",,1/06/2017,2083
171,NSW,Brooklyn,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2083",,1/06/2017,2083
172,NSW,Cheero Point,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2083",,1/06/2017,2083
173,NSW,Cogra Bay,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2083",,1/06/2017,2083
174,NSW,Dangar Island,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2083",,1/06/2017,2083
175,NSW,Milsons Passage,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2083",,1/06/2017,2083
176,NSW,Mooney Mooney,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2083",,1/06/2017,2083
177,NSW,Cottage Point,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2084",,1/06/2017,2084
178,NSW,Duffys Forest,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2084",,1/06/2017,2084
179,NSW,Terrey Hills,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2084",,1/06/2017,2084
180,NSW,Belrose,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2085","1,600,000.00",1/06/2017,2085
181,NSW,Belrose West,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2085","1,600,000.00",1/06/2017,2085
182,NSW,Davidson,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2085","1,600,000.00",1/06/2017,2085
183,NSW,Frenchs Forest,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2086","1,645,500.00",1/06/2017,2086
184,NSW,Frenchs Forest East,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2086","1,645,500.00",1/06/2017,2086
185,NSW,Forestville,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2087","1,703,000.00",1/06/2017,2087
186,NSW,Killarney Heights,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2087","1,703,000.00",1/06/2017,2087
187,NSW,Mosman,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2088","1,860,000.00",1/06/2017,2088
188,NSW,Spit Junction,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2088","1,860,000.00",1/06/2017,2088
189,NSW,Neutral Bay,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2089","1,300,000.00",1/06/2017,2089
190,NSW,Neutral Bay Junction,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2089","1,300,000.00",1/06/2017,2089
191,NSW,Cremorne,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2090","1,290,000.00",1/06/2017,2090
192,NSW,Cremorne Junction,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2090","1,290,000.00",1/06/2017,2090
193,NSW,Cremorne Point,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2090","1,290,000.00",1/06/2017,2090
194,NSW,Seaforth,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2092","2,655,700.00",1/06/2017,2092
195,NSW,Balgowlah,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2093","1,470,000.00",1/06/2017,2093
196,NSW,Balgowlah Heights,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2093","1,470,000.00",1/06/2017,2093
197,NSW,Clontarf,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2093","1,470,000.00",1/06/2017,2093
198,NSW,Manly Vale,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2093","1,470,000.00",1/06/2017,2093
199,NSW,North Balgowlah,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2093","1,470,000.00",1/06/2017,2093
200,NSW,Fairlight,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2094","1,413,000.00",1/06/2017,2094
201,NSW,Manly,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2095","1,200,000.00",1/06/2017,2095
202,NSW,Manly East,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2095","1,200,000.00",1/06/2017,2095
203,NSW,Curl Curl,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2096","975,000.00",1/06/2017,2096
204,NSW,Harbord,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2096","975,000.00",1/06/2017,2096
205,NSW,Queenscliff,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2096","975,000.00",1/06/2017,2096
206,NSW,Collaroy,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2097","1,470,750.00",1/06/2017,2097
207,NSW,Collaroy Beach,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2097","1,470,750.00",1/06/2017,2097
208,NSW,Collaroy Plateau West,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2097","1,470,750.00",1/06/2017,2097
209,NSW,Wheeler Heights,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2097","1,470,750.00",1/06/2017,2097
210,NSW,Cromer,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2099","1,000,000.00",1/06/2017,2099
211,NSW,Dee Why,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2099","1,000,000.00",1/06/2017,2099
212,NSW,Narraweena,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2099","1,000,000.00",1/06/2017,2099
213,NSW,North Curl Curl,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2099","1,000,000.00",1/06/2017,2099
